% Indian_Name_Gender
% Akshay Gulati akshaygulati66[at]yahoo.co.in
% 12/08/2015,12:38:47
% Python Generated ARFF file
% Gender Model Type: Bigrams

@RELATION Gender_Bigrams

@ATTRIBUTE Bigrams_Male  NUMERIC
@ATTRIBUTE Bigrams_Female  NUMERIC
@ATTRIBUTE Bigrams  STRING
@ATTRIBUTE class        {Male,Female}

@DATA
323.0,28.0,sh,Male
323.0,28.0,sh,Male
253.0,29.0,ar,Male
113.0,9.0,it,Male
421.0,62.0,an,Male
7.0,0.0,ey,Male
14.0,19.0,va,Male
421.0,62.0,an,Male
53.0,3.0,ay,Male
31.0,63.0,hi,Male
86.0,35.0,at,Male
38.0,6.0,et,Male
46.0,0.0,ik,Male
323.0,28.0,sh,Male
421.0,62.0,an,Male
31.0,0.0,av,Male
323.0,28.0,sh,Male
110.0,36.0,am,Male
4.0,0.0,op,Male
9.0,1.0,ut,Male
253.0,29.0,ar,Male
10.0,2.0,ek,Male
72.0,10.0,as,Male
134.0,53.0,al,Male
76.0,4.0,aj,Male
72.0,136.0,ya,Male
26.0,129.0,ta,Male
72.0,136.0,ya,Male
323.0,28.0,sh,Male
21.0,0.0,ep,Male
72.0,136.0,ya,Male
9.0,1.0,ut,Male
113.0,9.0,it,Male
46.0,0.0,ik,Male
72.0,136.0,ya,Male
98.0,159.0,ra,Male
323.0,28.0,sh,Male
72.0,136.0,ya,Male
323.0,28.0,sh,Male
76.0,4.0,aj,Male
59.0,5.0,im,Male
421.0,62.0,an,Male
253.0,29.0,ar,Male
10.0,5.0,ru,Male
10.0,5.0,ru,Male
53.0,3.0,ay,Male
113.0,9.0,it,Male
18.0,0.0,bh,Male
86.0,35.0,at,Male
66.0,10.0,il,Male
323.0,28.0,sh,Male
323.0,28.0,sh,Male
323.0,28.0,sh,Male
86.0,35.0,at,Male
421.0,62.0,an,Male
86.0,35.0,at,Male
86.0,35.0,at,Male
53.0,3.0,ay,Male
113.0,9.0,it,Male
72.0,136.0,ya,Male
421.0,62.0,an,Male
3.0,0.0,ap,Male
253.0,29.0,ar,Male
7.0,0.0,ok,Male
421.0,62.0,an,Male
134.0,53.0,al,Male
53.0,3.0,ay,Male
253.0,29.0,ar,Male
98.0,159.0,ra,Male
21.0,0.0,ep,Male
38.0,6.0,et,Male
253.0,29.0,ar,Male
31.0,168.0,ha,Male
31.0,63.0,hi,Male
12.0,3.0,ud,Male
10.0,1.0,uj,Male
38.0,6.0,et,Male
72.0,136.0,ya,Male
421.0,62.0,an,Male
323.0,28.0,sh,Male
113.0,9.0,it,Male
18.0,0.0,bh,Male
14.0,19.0,va,Male
323.0,28.0,sh,Male
323.0,28.0,sh,Male
14.0,0.0,od,Male
6.0,0.0,gh,Male
3.0,5.0,ol,Male
76.0,4.0,aj,Male
46.0,0.0,ik,Male
35.0,6.0,ul,Male
72.0,136.0,ya,Male
72.0,136.0,ya,Male
6.0,0.0,gh,Male
30.0,2.0,nd,Male
31.0,87.0,ti,Male
23.0,0.0,ng,Male
49.0,0.0,nt,Male
110.0,36.0,am,Male
1.0,0.0,yo,Male
53.0,3.0,ay,Male
323.0,28.0,sh,Male
88.0,8.0,ad,Male
9.0,61.0,da,Male
45.0,10.0,ak,Male
46.0,0.0,ik,Male
118.0,11.0,th,Male
66.0,10.0,il,Male
253.0,29.0,ar,Male
323.0,28.0,sh,Male
17.0,0.0,dh,Male
2.0,0.0,hh,Male
31.0,168.0,ha,Male
323.0,28.0,sh,Male
323.0,28.0,sh,Male
113.0,9.0,it,Male
134.0,53.0,al,Male
10.0,96.0,ka,Male
421.0,62.0,an,Male
421.0,62.0,an,Male
113.0,9.0,it,Male
24.0,6.0,ur,Male
323.0,28.0,sh,Male
31.0,168.0,ha,Male
4.0,0.0,op,Male
39.0,3.0,hu,Male
35.0,6.0,ul,Male
421.0,62.0,an,Male
6.0,0.0,su,Male
323.0,28.0,sh,Male
10.0,42.0,sa,Male
10.0,1.0,uj,Male
110.0,36.0,am,Male
16.0,0.0,ag,Male
53.0,3.0,ay,Male
31.0,0.0,av,Male
31.0,168.0,ha,Male
113.0,9.0,it,Male
72.0,136.0,ya,Male
110.0,36.0,am,Male
421.0,62.0,an,Male
49.0,0.0,nt,Male
87.0,29.0,in,Male
15.0,0.0,iv,Male
18.0,4.0,un,Male
421.0,62.0,an,Male
31.0,0.0,av,Male
