% Indian_Name_Gender
% Akshay Gulati akshaygulati66[at]yahoo.co.in
% 12/08/2015,12:38:47
% Python Generated ARFF file
% Gender Model Type: Bigrams_2

@RELATION Gender_Bigrams_2

@ATTRIBUTE Bigram_2_Male  NUMERIC
@ATTRIBUTE Bigram_2_Female  NUMERIC
@ATTRIBUTE Bigram_2  STRING
@ATTRIBUTE class        {Male,Female}

@DATA
183.0,13.0,eh,Male
269.0,617.0,ah,Male
264.0,30.0,ar,Male
117.0,9.0,it,Male
423.0,65.0,an,Male
11.0,5.0,ey,Male
131.0,401.0,aa,Male
423.0,65.0,an,Male
56.0,11.0,ay,Male
178.0,242.0,Ai,Male
139.0,37.0,at,Male
41.0,6.0,et,Male
48.0,0.0,ik,Male
269.0,617.0,ah,Male
423.0,65.0,an,Male
32.0,0.0,av,Male
183.0,13.0,eh,Male
113.0,36.0,am,Male
4.0,0.0,op,Male
22.0,1.0,ut,Male
264.0,30.0,ar,Male
10.0,2.0,ek,Male
75.0,11.0,as,Male
138.0,55.0,al,Male
77.0,4.0,aj,Male
73.0,168.0,ya,Male
39.0,98.0,ua,Male
73.0,168.0,ya,Male
269.0,617.0,ah,Male
21.0,0.0,ep,Male
73.0,168.0,ya,Male
22.0,1.0,ut,Male
117.0,9.0,it,Male
48.0,0.0,ik,Male
73.0,168.0,ya,Male
64.0,220.0,ea,Male
25.0,2.0,oh,Male
73.0,168.0,ya,Male
183.0,13.0,eh,Male
77.0,4.0,aj,Male
59.0,6.0,im,Male
423.0,65.0,an,Male
264.0,30.0,ar,Male
56.0,12.0,au,Male
56.0,12.0,au,Male
56.0,11.0,ay,Male
117.0,9.0,it,Male
269.0,617.0,ah,Male
139.0,37.0,at,Male
66.0,10.0,il,Male
269.0,617.0,ah,Male
269.0,617.0,ah,Male
183.0,13.0,eh,Male
139.0,37.0,at,Male
423.0,65.0,an,Male
139.0,37.0,at,Male
139.0,37.0,at,Male
56.0,11.0,ay,Male
117.0,9.0,it,Male
73.0,168.0,ya,Male
423.0,65.0,an,Male
4.0,0.0,ap,Male
264.0,30.0,ar,Male
7.0,0.0,ok,Male
423.0,65.0,an,Male
138.0,55.0,al,Male
56.0,11.0,ay,Male
264.0,30.0,ar,Male
131.0,401.0,aa,Male
