% Indian_Name_Gender
% Akshay Gulati akshaygulati66[at]yahoo.co.in
% 12/08/2015,12:38:47
% Python Generated ARFF file
% Gender Model Type: Trigrams

@RELATION Gender_Trigrams

@ATTRIBUTE Trigrams_Male  NUMERIC
@ATTRIBUTE Trigrams_Female  NUMERIC
@ATTRIBUTE Trigrams  STRING
@ATTRIBUTE class        {Male,Female}

@DATA
163.0,4.0,esh,Male
14.0,1.0,rsh,Male
36.0,0.0,kar,Male
6.0,0.0,dit,Male
59.0,8.0,man,Male
2.0,0.0,ney,Male
1.0,0.0,hva,Male
98.0,14.0,han,Male
9.0,0.0,hay,Male
3.0,2.0,bhi,Male
6.0,3.0,jat,Male
28.0,1.0,eet,Male
8.0,0.0,hik,Male
32.0,1.0,ash,Male
29.0,2.0,dan,Male
7.0,0.0,nav,Male
163.0,4.0,esh,Male
24.0,5.0,ram,Male
4.0,0.0,oop,Male
3.0,0.0,rut,Male
6.0,5.0,sar,Male
1.0,2.0,hek,Male
5.0,0.0,yas,Male
17.0,10.0,hal,Male
52.0,2.0,raj,Male
12.0,2.0,tya,Male
3.0,0.0,uta,Male
1.0,6.0,mya,Male
14.0,1.0,rsh,Male
21.0,0.0,eep,Male
12.0,2.0,tya,Male
3.0,0.0,rut,Male
1.0,1.0,ait,Male
4.0,0.0,vik,Male
12.0,2.0,tya,Male
76.0,8.0,dra,Male
13.0,2.0,osh,Male
10.0,6.0,eya,Male
163.0,4.0,esh,Male
52.0,2.0,raj,Male
5.0,0.0,rim,Male
98.0,14.0,han,Male
1.0,2.0,jar,Male
3.0,0.0,tru,Male
3.0,0.0,tru,Male
14.0,1.0,jay,Male
36.0,0.0,jit,Male
14.0,0.0,abh,Male
8.0,5.0,yat,Male
10.0,2.0,mil,Male
32.0,1.0,ash,Male
14.0,1.0,rsh,Male
163.0,4.0,esh,Male
4.0,0.0,sat,Male
98.0,14.0,han,Male
8.0,8.0,hat,Male
8.0,8.0,hat,Male
9.0,0.0,hay,Male
22.0,0.0,hit,Male
8.0,3.0,hya,Male
8.0,2.0,lan,Male
1.0,0.0,aap,Male
36.0,0.0,kar,Male
5.0,0.0,lok,Male
33.0,9.0,aan,Male
18.0,7.0,mal,Male
3.0,0.0,day,Male
19.0,4.0,mar,Male
5.0,37.0,ara,Male
21.0,0.0,eep,Male
28.0,1.0,eet,Male
13.0,4.0,bar,Male
11.0,74.0,sha,Male
6.0,5.0,thi,Male
1.0,0.0,bud,Male
2.0,0.0,buj,Male
28.0,1.0,eet,Male
10.0,6.0,eya,Male
32.0,3.0,ran,Male
64.0,18.0,ish,Male
13.0,0.0,mit,Male
14.0,0.0,abh,Male
4.0,5.0,ava,Male
163.0,4.0,esh,Male
13.0,2.0,osh,Male
2.0,0.0,mod,Male
1.0,0.0,ogh,Male
1.0,0.0,mol,Male
52.0,2.0,raj,Male
3.0,0.0,rik,Male
2.0,0.0,mul,Male
9.0,24.0,aya,Male
3.0,4.0,lya,Male
2.0,0.0,agh,Male
27.0,1.0,and,Male
3.0,3.0,rti,Male
23.0,0.0,ang,Male
45.0,0.0,ant,Male
24.0,5.0,ram,Male
1.0,0.0,nyo,Male
6.0,0.0,nay,Male
163.0,4.0,esh,Male
1.0,0.0,gad,Male
3.0,10.0,ada,Male
1.0,0.0,gak,Male
4.0,0.0,nik,Male
6.0,5.0,eth,Male
5.0,0.0,nil,Male
19.0,4.0,mar,Male
163.0,4.0,esh,Male
1.0,0.0,ddh,Male
1.0,0.0,dhh,Male
1.0,1.0,hha,Male
64.0,18.0,ish,Male
64.0,18.0,ish,Male
7.0,1.0,nit,Male
6.0,5.0,jal,Male
3.0,78.0,ika,Male
18.0,1.0,jan,Male
59.0,8.0,man,Male
2.0,0.0,kit,Male
3.0,0.0,kur,Male
10.0,2.0,ush,Male
4.0,13.0,dha,Male
4.0,0.0,oop,Male
22.0,1.0,shu,Male
8.0,0.0,hul,Male
59.0,8.0,man,Male
2.0,0.0,nsu,Male
16.0,0.0,ksh,Male
2.0,0.0,ksa,Male
2.0,0.0,nuj,Male
2.0,1.0,pam,Male
8.0,0.0,rag,Male
1.0,0.0,vay,Male
9.0,0.0,rav,Male
1.0,5.0,cha,Male
22.0,0.0,hit,Male
8.0,3.0,hya,Male
17.0,7.0,ham,Male
98.0,14.0,han,Male
45.0,0.0,ant,Male
6.0,5.0,rin,Male
1.0,0.0,riv,Male
1.0,0.0,jun,Male
59.0,8.0,man,Male
7.0,0.0,nav,Male
36.0,0.0,kar,Male
3.0,2.0,run,Male
3.0,1.0,ind,Male
30.0,3.0,yan,Male
98.0,14.0,han,Male
27.0,1.0,hir,Male
4.0,0.0,vad,Male
64.0,18.0,ish,Male
64.0,18.0,ish,Male
13.0,0.0,mit,Male
2.0,0.0,hok,Male
4.0,0.0,ray,Male
1.0,0.0,umu,Male
13.0,2.0,osh,Male
63.0,2.0,ath,Male
6.0,0.0,vin,Male
63.0,2.0,ath,Male
7.0,13.0,ama,Male
7.0,13.0,ama,Male
2.0,0.0,win,Male
1.0,4.0,ija,Male
1.0,12.0,kha,Male
59.0,8.0,man,Male
7.0,13.0,ama,Male
7.0,0.0,wad,Male
3.0,2.0,tal,Male
28.0,1.0,eet,Male
29.0,0.0,van,Male
29.0,0.0,van,Male
16.0,0.0,ksh,Male
8.0,2.0,tin,Male
2.0,1.0,oti,Male
59.0,8.0,man,Male
6.0,3.0,tul,Male
3.0,4.0,lya,Male
5.0,0.0,lok,Male
76.0,8.0,dra,Male
64.0,18.0,ish,Male
17.0,10.0,hal,Male
32.0,1.0,ash,Male
2.0,3.0,ral,Male
32.0,1.0,ash,Male
10.0,2.0,ush,Male
4.0,26.0,ala,Male
2.0,2.0,bul,Male
2.0,0.0,dri,Male
63.0,2.0,ath,Male
12.0,2.0,tya,Male
76.0,8.0,dra,Male
4.0,1.0,aji,Male
7.0,6.0,hna,Male
25.0,44.0,ani,Male
98.0,14.0,han,Male
36.0,0.0,kar,Male
29.0,0.0,van,Male
30.0,0.0,dev,Male
14.0,3.0,ndu,Male
15.0,24.0,ali,Male
52.0,2.0,raj,Male
24.0,5.0,ram,Male
39.0,6.0,eer,Male
7.0,0.0,wan,Male
28.0,1.0,eet,Male
3.0,0.0,kim,Male
76.0,8.0,dra,Male
1.0,0.0,nsi,Male
12.0,1.0,lal,Male
76.0,8.0,dra,Male
45.0,0.0,ant,Male
30.0,0.0,dev,Male
8.0,0.0,rak,Male
2.0,0.0,pil,Male
16.0,0.0,ksh,Male
2.0,6.0,ree,Male
163.0,4.0,esh,Male
4.0,0.0,gat,Male
163.0,4.0,esh,Male
63.0,2.0,ath,Male
45.0,0.0,ant,Male
9.0,0.0,rav,Male
13.0,2.0,osh,Male
27.0,1.0,and,Male
8.0,1.0,anu,Male
14.0,1.0,das,Male
6.0,7.0,tra,Male
32.0,1.0,ash,Male
8.0,0.0,sad,Male
2.0,0.0,waj,Male
13.0,4.0,rat,Male
1.0,0.0,gav,Male
163.0,4.0,esh,Male
36.0,0.0,kar,Male
163.0,4.0,esh,Male
4.0,0.0,vik,Male
14.0,1.0,das,Male
11.0,1.0,him,Male
2.0,8.0,hma,Male
1.0,3.0,sma,Male
63.0,2.0,ath,Male
5.0,0.0,mik,Male
1.0,0.0,igu,Male
30.0,0.0,dev,Male
15.0,7.0,min,Male
76.0,8.0,dra,Male
23.0,3.0,pal,Male
19.0,30.0,ati,Male
3.0,0.0,pen,Male
76.0,8.0,dra,Male
163.0,4.0,esh,Male
98.0,14.0,han,Male
29.0,0.0,van,Male
29.0,0.0,van,Male
163.0,4.0,esh,Male
163.0,4.0,esh,Male
3.0,10.0,ada,Male
6.0,5.0,sar,Male
4.0,14.0,nya,Male
65.0,4.0,har,Male
25.0,44.0,ani,Male
98.0,14.0,han,Male
59.0,8.0,man,Male
5.0,0.0,pak,Male
29.0,2.0,dan,Male
3.0,0.0,uli,Male
6.0,0.0,der,Male
98.0,14.0,han,Male
2.0,0.0,att,Male
65.0,4.0,har,Male
1.0,0.0,upt,Male
11.0,1.0,has,Male
52.0,2.0,raj,Male
8.0,0.0,rak,Male
45.0,0.0,ant,Male
3.0,0.0,uli,Male
63.0,2.0,ath,Male
22.0,1.0,shu,Male
2.0,0.0,sen,Male
65.0,4.0,har,Male
163.0,4.0,esh,Male
23.0,3.0,pal,Male
32.0,3.0,ran,Male
14.0,1.0,das,Male
36.0,0.0,jit,Male
3.0,2.0,tta,Male
10.0,7.0,nan,Male
1.0,0.0,edi,Male
20.0,1.0,tan,Male
19.0,21.0,ari,Male
13.0,4.0,bar,Male
24.0,5.0,ram,Male
27.0,1.0,and,Male
3.0,1.0,tma,Male
4.0,1.0,nar,Male
8.0,0.0,may,Male
25.0,44.0,ani,Male
20.0,1.0,tan,Male
1.0,0.0,tav,Male
2.0,0.0,ntu,Male
8.0,0.0,rag,Male
28.0,1.0,eet,Male
4.0,0.0,eev,Male
6.0,0.0,ayu,Male
2.0,3.0,pta,Male
16.0,0.0,ksh,Male
18.0,1.0,jan,Male
6.0,0.0,rup,Male
163.0,4.0,esh,Male
8.0,0.0,rag,Male
25.0,44.0,ani,Male
8.0,0.0,may,Male
19.0,96.0,ana,Male
16.0,0.0,ksh,Male
163.0,4.0,esh,Male
10.0,2.0,hin,Male
59.0,8.0,man,Male
16.0,0.0,dar,Male
7.0,1.0,iel,Male
98.0,14.0,han,Male
3.0,2.0,uka,Male
63.0,2.0,ath,Male
3.0,2.0,tta,Male
10.0,6.0,eya,Male
4.0,1.0,lat,Male
9.0,24.0,aya,Male
27.0,1.0,and,Male
8.0,8.0,dhi,Male
6.0,1.0,gar,Male
6.0,0.0,rup,Male
7.0,2.0,dhu,Male
4.0,4.0,yal,Male
5.0,0.0,pak,Male
36.0,0.0,kar,Male
14.0,1.0,das,Male
