% Indian_Name_Gender
% Akshay Gulati akshaygulati66[at]yahoo.co.in
% 12/08/2015,12:38:47
% Python Generated ARFF file
% Gender Model Type: Unigrams

@RELATION Gender_Unigrams

@ATTRIBUTE Unigrams_Male  NUMERIC
@ATTRIBUTE Unigrams_Female  NUMERIC
@ATTRIBUTE Unigram  STRING
@ATTRIBUTE class        {Male,Female}

@DATA
621.0,657.0,h,Male
621.0,657.0,h,Male
502.0,67.0,r,Male
327.0,55.0,t,Male
618.0,175.0,n,Male
78.0,24.0,y,Male
377.0,1549.0,a,Male
618.0,175.0,n,Male
78.0,24.0,y,Male
234.0,434.0,i,Male
327.0,55.0,t,Male
327.0,55.0,t,Male
128.0,13.0,k,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
85.0,0.0,v,Male
621.0,657.0,h,Male
235.0,70.0,m,Male
40.0,0.0,p,Male
327.0,55.0,t,Male
502.0,67.0,r,Male
128.0,13.0,k,Male
120.0,33.0,s,Male
297.0,96.0,l,Male
102.0,9.0,j,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
40.0,0.0,p,Male
377.0,1549.0,a,Male
327.0,55.0,t,Male
327.0,55.0,t,Male
128.0,13.0,k,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
102.0,9.0,j,Male
235.0,70.0,m,Male
618.0,175.0,n,Male
502.0,67.0,r,Male
113.0,21.0,u,Male
113.0,21.0,u,Male
78.0,24.0,y,Male
327.0,55.0,t,Male
621.0,657.0,h,Male
327.0,55.0,t,Male
297.0,96.0,l,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
327.0,55.0,t,Male
618.0,175.0,n,Male
327.0,55.0,t,Male
327.0,55.0,t,Male
78.0,24.0,y,Male
327.0,55.0,t,Male
377.0,1549.0,a,Male
618.0,175.0,n,Male
40.0,0.0,p,Male
502.0,67.0,r,Male
128.0,13.0,k,Male
618.0,175.0,n,Male
297.0,96.0,l,Male
78.0,24.0,y,Male
502.0,67.0,r,Male
377.0,1549.0,a,Male
40.0,0.0,p,Male
327.0,55.0,t,Male
502.0,67.0,r,Male
377.0,1549.0,a,Male
234.0,434.0,i,Male
254.0,19.0,d,Male
102.0,9.0,j,Male
327.0,55.0,t,Male
377.0,1549.0,a,Male
618.0,175.0,n,Male
621.0,657.0,h,Male
327.0,55.0,t,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
254.0,19.0,d,Male
621.0,657.0,h,Male
297.0,96.0,l,Male
102.0,9.0,j,Male
128.0,13.0,k,Male
297.0,96.0,l,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
254.0,19.0,d,Male
234.0,434.0,i,Male
42.0,0.0,g,Male
327.0,55.0,t,Male
235.0,70.0,m,Male
6.0,5.0,o,Male
78.0,24.0,y,Male
621.0,657.0,h,Male
254.0,19.0,d,Male
377.0,1549.0,a,Male
128.0,13.0,k,Male
128.0,13.0,k,Male
621.0,657.0,h,Male
297.0,96.0,l,Male
502.0,67.0,r,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
327.0,55.0,t,Male
297.0,96.0,l,Male
377.0,1549.0,a,Male
618.0,175.0,n,Male
618.0,175.0,n,Male
327.0,55.0,t,Male
502.0,67.0,r,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
40.0,0.0,p,Male
113.0,21.0,u,Male
297.0,96.0,l,Male
618.0,175.0,n,Male
113.0,21.0,u,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
102.0,9.0,j,Male
235.0,70.0,m,Male
42.0,0.0,g,Male
78.0,24.0,y,Male
85.0,0.0,v,Male
377.0,1549.0,a,Male
327.0,55.0,t,Male
377.0,1549.0,a,Male
235.0,70.0,m,Male
618.0,175.0,n,Male
327.0,55.0,t,Male
618.0,175.0,n,Male
85.0,0.0,v,Male
618.0,175.0,n,Male
618.0,175.0,n,Male
85.0,0.0,v,Male
502.0,67.0,r,Male
618.0,175.0,n,Male
254.0,19.0,d,Male
618.0,175.0,n,Male
618.0,175.0,n,Male
502.0,67.0,r,Male
254.0,19.0,d,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
327.0,55.0,t,Male
128.0,13.0,k,Male
78.0,24.0,y,Male
113.0,21.0,u,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
254.0,19.0,d,Male
297.0,96.0,l,Male
327.0,55.0,t,Male
618.0,175.0,n,Male
618.0,175.0,n,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
234.0,434.0,i,Male
618.0,175.0,n,Male
297.0,96.0,l,Male
377.0,1549.0,a,Male
128.0,13.0,k,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
297.0,96.0,l,Male
621.0,657.0,h,Male
297.0,96.0,l,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
297.0,96.0,l,Male
234.0,434.0,i,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
234.0,434.0,i,Male
377.0,1549.0,a,Male
234.0,434.0,i,Male
618.0,175.0,n,Male
502.0,67.0,r,Male
618.0,175.0,n,Male
85.0,0.0,v,Male
113.0,21.0,u,Male
234.0,434.0,i,Male
102.0,9.0,j,Male
235.0,70.0,m,Male
502.0,67.0,r,Male
618.0,175.0,n,Male
327.0,55.0,t,Male
235.0,70.0,m,Male
377.0,1549.0,a,Male
234.0,434.0,i,Male
297.0,96.0,l,Male
377.0,1549.0,a,Male
327.0,55.0,t,Male
85.0,0.0,v,Male
128.0,13.0,k,Male
297.0,96.0,l,Male
621.0,657.0,h,Male
42.0,54.0,e,Male
621.0,657.0,h,Male
327.0,55.0,t,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
327.0,55.0,t,Male
85.0,0.0,v,Male
621.0,657.0,h,Male
254.0,19.0,d,Male
113.0,21.0,u,Male
120.0,33.0,s,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
254.0,19.0,d,Male
102.0,9.0,j,Male
327.0,55.0,t,Male
85.0,0.0,v,Male
621.0,657.0,h,Male
502.0,67.0,r,Male
621.0,657.0,h,Male
128.0,13.0,k,Male
120.0,33.0,s,Male
235.0,70.0,m,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
128.0,13.0,k,Male
113.0,21.0,u,Male
85.0,0.0,v,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
297.0,96.0,l,Male
234.0,434.0,i,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
618.0,175.0,n,Male
618.0,175.0,n,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
502.0,67.0,r,Male
377.0,1549.0,a,Male
502.0,67.0,r,Male
234.0,434.0,i,Male
618.0,175.0,n,Male
618.0,175.0,n,Male
128.0,13.0,k,Male
618.0,175.0,n,Male
234.0,434.0,i,Male
502.0,67.0,r,Male
618.0,175.0,n,Male
327.0,55.0,t,Male
502.0,67.0,r,Male
327.0,55.0,t,Male
120.0,33.0,s,Male
102.0,9.0,j,Male
128.0,13.0,k,Male
327.0,55.0,t,Male
234.0,434.0,i,Male
621.0,657.0,h,Male
113.0,21.0,u,Male
618.0,175.0,n,Male
502.0,67.0,r,Male
621.0,657.0,h,Male
297.0,96.0,l,Male
618.0,175.0,n,Male
120.0,33.0,s,Male
327.0,55.0,t,Male
377.0,1549.0,a,Male
618.0,175.0,n,Male
234.0,434.0,i,Male
618.0,175.0,n,Male
234.0,434.0,i,Male
502.0,67.0,r,Male
235.0,70.0,m,Male
254.0,19.0,d,Male
377.0,1549.0,a,Male
502.0,67.0,r,Male
78.0,24.0,y,Male
234.0,434.0,i,Male
618.0,175.0,n,Male
85.0,0.0,v,Male
113.0,21.0,u,Male
42.0,0.0,g,Male
327.0,55.0,t,Male
85.0,0.0,v,Male
113.0,21.0,u,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
40.0,0.0,p,Male
621.0,657.0,h,Male
42.0,0.0,g,Male
234.0,434.0,i,Male
78.0,24.0,y,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
618.0,175.0,n,Male
502.0,67.0,r,Male
297.0,96.0,l,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
327.0,55.0,t,Male
377.0,1549.0,a,Male
254.0,19.0,d,Male
234.0,434.0,i,Male
502.0,67.0,r,Male
40.0,0.0,p,Male
113.0,21.0,u,Male
297.0,96.0,l,Male
128.0,13.0,k,Male
502.0,67.0,r,Male
120.0,33.0,s,Male
377.0,1549.0,a,Male
113.0,21.0,u,Male
621.0,657.0,h,Male
113.0,21.0,u,Male
113.0,21.0,u,Male
102.0,9.0,j,Male
327.0,55.0,t,Male
235.0,70.0,m,Male
254.0,19.0,d,Male
42.0,0.0,g,Male
621.0,657.0,h,Male
102.0,9.0,j,Male
621.0,657.0,h,Male
234.0,434.0,i,Male
621.0,657.0,h,Male
120.0,33.0,s,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
113.0,21.0,u,Male
120.0,33.0,s,Male
297.0,96.0,l,Male
254.0,19.0,d,Male
234.0,434.0,i,Male
618.0,175.0,n,Male
102.0,9.0,j,Male
78.0,24.0,y,Male
618.0,175.0,n,Male
254.0,19.0,d,Male
78.0,24.0,y,Male
78.0,24.0,y,Male
102.0,9.0,j,Male
621.0,657.0,h,Male
113.0,21.0,u,Male
234.0,434.0,i,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
85.0,0.0,v,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
128.0,13.0,k,Male
377.0,1549.0,a,Male
234.0,434.0,i,Male
297.0,96.0,l,Male
102.0,9.0,j,Male
377.0,1549.0,a,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
113.0,21.0,u,Male
85.0,0.0,v,Male
377.0,1549.0,a,Male
297.0,96.0,l,Male
618.0,175.0,n,Male
235.0,70.0,m,Male
502.0,67.0,r,Male
618.0,175.0,n,Male
297.0,96.0,l,Male
621.0,657.0,h,Male
502.0,67.0,r,Male
40.0,0.0,p,Male
6.0,5.0,o,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
502.0,67.0,r,Male
297.0,96.0,l,Male
618.0,175.0,n,Male
502.0,67.0,r,Male
618.0,175.0,n,Male
502.0,67.0,r,Male
327.0,55.0,t,Male
327.0,55.0,t,Male
113.0,21.0,u,Male
113.0,21.0,u,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
120.0,33.0,s,Male
327.0,55.0,t,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
120.0,33.0,s,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
502.0,67.0,r,Male
327.0,55.0,t,Male
128.0,13.0,k,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
40.0,0.0,p,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
102.0,9.0,j,Male
102.0,9.0,j,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
502.0,67.0,r,Male
327.0,55.0,t,Male
621.0,657.0,h,Male
85.0,0.0,v,Male
128.0,13.0,k,Male
42.0,0.0,g,Male
85.0,0.0,v,Male
327.0,55.0,t,Male
618.0,175.0,n,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
502.0,67.0,r,Male
235.0,70.0,m,Male
327.0,55.0,t,Male
235.0,70.0,m,Male
40.0,0.0,p,Male
377.0,1549.0,a,Male
327.0,55.0,t,Male
297.0,96.0,l,Male
502.0,67.0,r,Male
618.0,175.0,n,Male
297.0,96.0,l,Male
102.0,9.0,j,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
297.0,96.0,l,Male
618.0,175.0,n,Male
102.0,9.0,j,Male
621.0,657.0,h,Male
254.0,19.0,d,Male
128.0,13.0,k,Male
297.0,96.0,l,Male
110.0,21.0,b,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
297.0,96.0,l,Male
618.0,175.0,n,Male
618.0,175.0,n,Male
297.0,96.0,l,Male
40.0,0.0,p,Male
120.0,33.0,s,Male
618.0,175.0,n,Male
327.0,55.0,t,Male
235.0,70.0,m,Male
618.0,175.0,n,Male
113.0,21.0,u,Male
120.0,33.0,s,Male
327.0,55.0,t,Male
102.0,9.0,j,Male
297.0,96.0,l,Male
102.0,9.0,j,Male
618.0,175.0,n,Male
128.0,13.0,k,Male
621.0,657.0,h,Male
234.0,434.0,i,Male
327.0,55.0,t,Male
502.0,67.0,r,Male
297.0,96.0,l,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
502.0,67.0,r,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
254.0,19.0,d,Male
297.0,96.0,l,Male
297.0,96.0,l,Male
618.0,175.0,n,Male
621.0,657.0,h,Male
102.0,9.0,j,Male
618.0,175.0,n,Male
621.0,657.0,h,Male
327.0,55.0,t,Male
377.0,1549.0,a,Male
234.0,434.0,i,Male
297.0,96.0,l,Male
42.0,0.0,g,Male
327.0,55.0,t,Male
621.0,657.0,h,Male
102.0,9.0,j,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
113.0,21.0,u,Male
377.0,1549.0,a,Male
297.0,96.0,l,Male
128.0,13.0,k,Male
113.0,21.0,u,Male
78.0,24.0,y,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
113.0,21.0,u,Male
621.0,657.0,h,Male
128.0,13.0,k,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
502.0,67.0,r,Male
377.0,1549.0,a,Male
327.0,55.0,t,Male
327.0,55.0,t,Male
297.0,96.0,l,Male
618.0,175.0,n,Male
102.0,9.0,j,Male
327.0,55.0,t,Male
502.0,67.0,r,Male
621.0,657.0,h,Male
618.0,175.0,n,Male
621.0,657.0,h,Male
377.0,1549.0,a,Male
618.0,175.0,n,Male
377.0,1549.0,a,Male
