% Indian_Name_Religion
% Akshay Gulati akshaygulati66[at]yahoo.co.in
% 11/08/15
% Python Generated ARFF file
%  
% Belief Model Type: Depth = 3
%
%

@RELATION Religion

@ATTRIBUTE Hinduism  NUMERIC
@ATTRIBUTE Islam  NUMERIC
@ATTRIBUTE Christianity  NUMERIC
@ATTRIBUTE class        {Hinduism,Islam,Christianity}

@DATA
13.0,2.5,0.0,Hinduism
3.5,0.0,0.0,Hinduism
0.0,0.0,0.0,Hinduism
8.0,25.5,4.0,Hinduism
8.5,8.0,0.5,Hinduism
0.5,0.0,0.0,Hinduism
3.0,8.5,2.5,Hinduism
0.0,0.0,0.0,Hinduism
7.5,11.0,1.5,Hinduism
8.5,10.5,3.0,Hinduism
2.5,0.0,0.0,Hinduism
0.5,0.0,0.0,Hinduism
5.0,6.0,0.5,Hinduism
1.5,0.5,0.0,Hinduism
0.0,0.0,0.0,Hinduism
1.5,0.0,0.0,Hinduism
0.0,0.0,0.0,Hinduism
2.5,0.0,0.5,Hinduism
0.0,0.0,0.0,Hinduism
1.0,0.0,0.0,Hinduism
1.5,0.0,0.0,Hinduism
0.0,0.0,0.0,Hinduism
1.0,3.0,0.0,Hinduism
9.5,12.0,0.0,Hinduism
0.5,0.0,0.0,Hinduism
0.0,0.0,0.0,Hinduism
0.0,0.0,0.0,Hinduism
3.0,2.0,1.0,Hinduism
5.5,0.5,0.5,Hinduism
2.5,14.5,1.0,Hinduism
4.0,3.0,1.0,Hinduism
1.0,1.0,0.0,Hinduism
0.5,0.0,0.5,Hinduism
3.5,2.5,1.5,Hinduism
0.5,0.0,0.5,Hinduism
2.0,0.0,0.0,Hinduism
1.0,0.0,0.0,Hinduism
1.0,1.0,0.0,Hinduism
1.0,0.0,0.0,Hinduism
4.5,12.0,1.5,Hinduism
2.0,8.5,1.5,Hinduism
20.5,56.0,8.5,Hinduism
9.0,34.5,2.5,Hinduism
0.0,0.0,0.0,Hinduism
0.0,0.0,0.0,Hinduism
12.5,22.5,2.5,Hinduism
11.5,17.0,2.5,Hinduism
1.0,0.0,0.0,Hinduism
0.0,0.0,0.0,Hinduism
3.0,10.5,0.0,Hinduism
2.0,2.5,0.0,Hinduism
6.0,0.5,0.0,Hinduism
1.0,0.0,0.0,Hinduism
3.5,10.0,0.0,Hinduism
10.5,9.0,0.0,Hinduism
6.0,7.5,0.0,Hinduism
6.0,7.5,0.0,Hinduism
6.0,5.5,0.0,Hinduism
9.5,2.5,0.0,Hinduism
0.0,0.0,0.0,Hinduism
0.0,0.0,0.0,Hinduism
1.0,9.0,0.5,Hinduism
1.0,0.0,0.0,Hinduism
4.0,3.0,1.5,Hinduism
7.0,34.0,0.0,Hinduism
18.0,46.5,4.0,Hinduism
0.0,0.0,0.0,Hinduism
13.5,57.5,4.0,Hinduism
9.0,32.0,6.0,Hinduism
0.5,0.0,0.0,Hinduism
0.5,0.0,0.0,Hinduism
7.5,25.0,0.0,Hinduism
0.0,0.0,0.0,Hinduism
0.0,0.0,0.0,Hinduism
4.0,2.5,0.0,Hinduism
5.0,1.0,0.0,Hinduism
4.5,13.0,0.0,Hinduism
4.5,14.5,1.0,Hinduism
0.0,0.0,0.0,Hinduism
12.5,10.5,1.0,Hinduism
20.0,26.0,3.0,Hinduism
3.0,1.0,0.0,Hinduism
1.0,0.0,0.0,Hinduism
5.0,0.0,0.0,Hinduism
2.0,0.0,0.0,Hinduism
6.5,11.0,2.0,Hinduism
2.5,1.0,0.5,Hinduism
9.0,11.0,2.5,Hinduism
8.0,21.0,1.5,Hinduism
5.5,5.5,1.0,Hinduism
11.5,14.0,1.5,Hinduism
2.5,0.5,0.0,Hinduism
4.5,2.0,0.0,Hinduism
3.5,5.5,1.0,Hinduism
8.5,11.0,1.5,Hinduism
0.0,0.0,0.0,Hinduism
7.5,8.0,1.5,Hinduism
10.0,9.0,2.0,Hinduism
0.0,0.0,0.0,Hinduism
3.5,1.0,0.0,Hinduism
19.0,31.0,4.0,Hinduism
4.0,5.5,0.0,Hinduism
6.0,12.5,0.0,Hinduism
4.0,1.0,0.0,Hinduism
5.0,8.0,0.0,Hinduism
14.0,27.0,4.0,Hinduism
0.5,0.0,0.0,Hinduism
14.5,33.0,5.5,Hinduism
0.0,0.0,0.0,Hinduism
4.0,0.0,0.0,Hinduism
2.0,0.0,0.0,Hinduism
2.0,0.0,0.0,Hinduism
2.0,0.0,0.0,Hinduism
